model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-base,1,encoder,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,512,240,,encoder.conv1.weight,"[512,80,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--Systran--faster-whisper-base,2,encoder,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,512,1536,1,encoder.conv2.weight,"[512,512,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--Systran--faster-whisper-base,3,encoder,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,512,512,2,encoder.layers.0.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,4,encoder,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,512,512,2,encoder.layers.0.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,5,encoder,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,512,512,2,encoder.layers.0.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,6,encoder,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--Systran--faster-whisper-base,7,encoder,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--Systran--faster-whisper-base,8,encoder,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,512,512,7,encoder.layers.0.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,9,encoder,0,encoder.layers.0.fc1,linear,,B*T_enc,2048,512,8,encoder.layers.0.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,10,encoder,0,encoder.layers.0.fc2,linear,,B*T_enc,512,2048,9,encoder.layers.0.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,11,encoder,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,512,512,10,encoder.layers.1.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,12,encoder,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,512,512,10,encoder.layers.1.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,13,encoder,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,512,512,10,encoder.layers.1.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,14,encoder,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--Systran--faster-whisper-base,15,encoder,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
models--Systran--faster-whisper-base,16,encoder,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_enc,512,512,15,encoder.layers.1.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,17,encoder,1,encoder.layers.1.fc1,linear,,B*T_enc,2048,512,16,encoder.layers.1.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,18,encoder,1,encoder.layers.1.fc2,linear,,B*T_enc,512,2048,17,encoder.layers.1.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,19,encoder,2,encoder.layers.2.self_attn.q_proj,linear,,B*T_enc,512,512,18,encoder.layers.2.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,20,encoder,2,encoder.layers.2.self_attn.k_proj,linear,,B*T_enc,512,512,18,encoder.layers.2.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,21,encoder,2,encoder.layers.2.self_attn.v_proj,linear,,B*T_enc,512,512,18,encoder.layers.2.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,22,encoder,2,encoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,19;20,,,config+architecture,
models--Systran--faster-whisper-base,23,encoder,2,encoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,22;21,,,config+architecture,
models--Systran--faster-whisper-base,24,encoder,2,encoder.layers.2.self_attn.out_proj,linear,,B*T_enc,512,512,23,encoder.layers.2.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,25,encoder,2,encoder.layers.2.fc1,linear,,B*T_enc,2048,512,24,encoder.layers.2.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,26,encoder,2,encoder.layers.2.fc2,linear,,B*T_enc,512,2048,25,encoder.layers.2.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,27,encoder,3,encoder.layers.3.self_attn.q_proj,linear,,B*T_enc,512,512,26,encoder.layers.3.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,28,encoder,3,encoder.layers.3.self_attn.k_proj,linear,,B*T_enc,512,512,26,encoder.layers.3.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,29,encoder,3,encoder.layers.3.self_attn.v_proj,linear,,B*T_enc,512,512,26,encoder.layers.3.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,30,encoder,3,encoder.layers.3.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,27;28,,,config+architecture,
models--Systran--faster-whisper-base,31,encoder,3,encoder.layers.3.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,30;29,,,config+architecture,
models--Systran--faster-whisper-base,32,encoder,3,encoder.layers.3.self_attn.out_proj,linear,,B*T_enc,512,512,31,encoder.layers.3.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,33,encoder,3,encoder.layers.3.fc1,linear,,B*T_enc,2048,512,32,encoder.layers.3.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,34,encoder,3,encoder.layers.3.fc2,linear,,B*T_enc,512,2048,33,encoder.layers.3.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,35,encoder,4,encoder.layers.4.self_attn.q_proj,linear,,B*T_enc,512,512,34,encoder.layers.4.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,36,encoder,4,encoder.layers.4.self_attn.k_proj,linear,,B*T_enc,512,512,34,encoder.layers.4.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,37,encoder,4,encoder.layers.4.self_attn.v_proj,linear,,B*T_enc,512,512,34,encoder.layers.4.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,38,encoder,4,encoder.layers.4.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,35;36,,,config+architecture,
models--Systran--faster-whisper-base,39,encoder,4,encoder.layers.4.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,38;37,,,config+architecture,
models--Systran--faster-whisper-base,40,encoder,4,encoder.layers.4.self_attn.out_proj,linear,,B*T_enc,512,512,39,encoder.layers.4.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,41,encoder,4,encoder.layers.4.fc1,linear,,B*T_enc,2048,512,40,encoder.layers.4.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,42,encoder,4,encoder.layers.4.fc2,linear,,B*T_enc,512,2048,41,encoder.layers.4.fc2.weight,"[512,2048]",config+architecture,
models--Systran--faster-whisper-base,43,encoder,5,encoder.layers.5.self_attn.q_proj,linear,,B*T_enc,512,512,42,encoder.layers.5.self_attn.q_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,44,encoder,5,encoder.layers.5.self_attn.k_proj,linear,,B*T_enc,512,512,42,encoder.layers.5.self_attn.k_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,45,encoder,5,encoder.layers.5.self_attn.v_proj,linear,,B*T_enc,512,512,42,encoder.layers.5.self_attn.v_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,46,encoder,5,encoder.layers.5.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,43;44,,,config+architecture,
models--Systran--faster-whisper-base,47,encoder,5,encoder.layers.5.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,46;45,,,config+architecture,
models--Systran--faster-whisper-base,48,encoder,5,encoder.layers.5.self_attn.out_proj,linear,,B*T_enc,512,512,47,encoder.layers.5.self_attn.out_proj.weight,"[512,512]",config+architecture,
models--Systran--faster-whisper-base,49,encoder,5,encoder.layers.5.fc1,linear,,B*T_enc,2048,512,48,encoder.layers.5.fc1.weight,"[2048,512]",config+architecture,
models--Systran--faster-whisper-base,50,encoder,5,encoder.layers.5.fc2,linear,,B*T_enc,512,2048,49,encoder.layers.5.fc2.weight,"[512,2048]",config+architecture,
