model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Qwen--Qwen3-14B,362,decode,0,model.layers.0.self_attn.q_proj,linear,,B,5120,5120,,model.layers.0.self_attn.q_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,363,decode,0,model.layers.0.self_attn.k_proj,linear,,B,1024,5120,,model.layers.0.self_attn.k_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,364,decode,0,model.layers.0.self_attn.v_proj,linear,,B,1024,5120,,model.layers.0.self_attn.v_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,365,decode,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,1,KV,128,362;363,,,config+architecture,"GQA QH=40, KVH=8"
models--Qwen--Qwen3-14B,366,decode,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,1,128,KV,365;364,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen3-14B,367,decode,0,model.layers.0.self_attn.o_proj,linear,,B,5120,5120,366,model.layers.0.self_attn.o_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,368,decode,0,model.layers.0.mlp.gate_proj,linear,,B,17408,5120,367,model.layers.0.mlp.gate_proj.weight,"[17408,5120]",config+architecture,
models--Qwen--Qwen3-14B,369,decode,0,model.layers.0.mlp.up_proj,linear,,B,17408,5120,367,model.layers.0.mlp.up_proj.weight,"[17408,5120]",config+architecture,
models--Qwen--Qwen3-14B,370,decode,0,model.layers.0.mlp.down_proj,linear,,B,5120,17408,368;369,model.layers.0.mlp.down_proj.weight,"[5120,17408]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen3-14B,371,decode,1,model.layers.1.self_attn.q_proj,linear,,B,5120,5120,370,model.layers.1.self_attn.q_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,372,decode,1,model.layers.1.self_attn.k_proj,linear,,B,1024,5120,370,model.layers.1.self_attn.k_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,373,decode,1,model.layers.1.self_attn.v_proj,linear,,B,1024,5120,370,model.layers.1.self_attn.v_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,374,decode,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,1,KV,128,371;372,,,config+architecture,"GQA QH=40, KVH=8"
models--Qwen--Qwen3-14B,375,decode,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,1,128,KV,374;373,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen3-14B,376,decode,1,model.layers.1.self_attn.o_proj,linear,,B,5120,5120,375,model.layers.1.self_attn.o_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,377,decode,1,model.layers.1.mlp.gate_proj,linear,,B,17408,5120,376,model.layers.1.mlp.gate_proj.weight,"[17408,5120]",config+architecture,
models--Qwen--Qwen3-14B,378,decode,1,model.layers.1.mlp.up_proj,linear,,B,17408,5120,376,model.layers.1.mlp.up_proj.weight,"[17408,5120]",config+architecture,
models--Qwen--Qwen3-14B,379,decode,1,model.layers.1.mlp.down_proj,linear,,B,5120,17408,377;378,model.layers.1.mlp.down_proj.weight,"[5120,17408]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen3-14B,380,decode,2,model.layers.2.self_attn.q_proj,linear,,B,5120,5120,379,model.layers.2.self_attn.q_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,381,decode,2,model.layers.2.self_attn.k_proj,linear,,B,1024,5120,379,model.layers.2.self_attn.k_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,382,decode,2,model.layers.2.self_attn.v_proj,linear,,B,1024,5120,379,model.layers.2.self_attn.v_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,383,decode,2,model.layers.2.self_attn.qk,batched_matmul,B*QH,1,KV,128,380;381,,,config+architecture,"GQA QH=40, KVH=8"
models--Qwen--Qwen3-14B,384,decode,2,model.layers.2.self_attn.pv,batched_matmul,B*QH,1,128,KV,383;382,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen3-14B,385,decode,2,model.layers.2.self_attn.o_proj,linear,,B,5120,5120,384,model.layers.2.self_attn.o_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,386,decode,2,model.layers.2.mlp.gate_proj,linear,,B,17408,5120,385,model.layers.2.mlp.gate_proj.weight,"[17408,5120]",config+architecture,
models--Qwen--Qwen3-14B,387,decode,2,model.layers.2.mlp.up_proj,linear,,B,17408,5120,385,model.layers.2.mlp.up_proj.weight,"[17408,5120]",config+architecture,
models--Qwen--Qwen3-14B,388,decode,2,model.layers.2.mlp.down_proj,linear,,B,5120,17408,386;387,model.layers.2.mlp.down_proj.weight,"[5120,17408]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen3-14B,389,decode,3,model.layers.3.self_attn.q_proj,linear,,B,5120,5120,388,model.layers.3.self_attn.q_proj.weight,"[5120,5120]",config+architecture,
models--Qwen--Qwen3-14B,390,decode,3,model.layers.3.self_attn.k_proj,linear,,B,1024,5120,388,model.layers.3.self_attn.k_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,391,decode,3,model.layers.3.self_attn.v_proj,linear,,B,1024,5120,388,model.layers.3.self_attn.v_proj.weight,"[1024,5120]",config+architecture,
models--Qwen--Qwen3-14B,392,decode,3,model.layers.3.self_attn.qk,batched_matmul,B*QH,1,KV,128,389;390,,,config+architecture,"GQA QH=40, KVH=8"
models--Qwen--Qwen3-14B,393,decode,3,model.layers.3.self_attn.pv,batched_matmul,B*QH,1,128,KV,392;391,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen3-14B,394,decode,3,model.layers.3.self_attn.o_proj,linear,,B,5120,5120,393,model.layers.3.self_attn.o_proj.weight,"[5120,5120]",config+architecture,
