model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--codellama--CodeLlama-13b-Instruct-hf,362,decode,0,model.layers.0.self_attn.q_proj,linear,,B,5120,5120,,model.layers.0.self_attn.q_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,363,decode,0,model.layers.0.self_attn.k_proj,linear,,B,5120,5120,,model.layers.0.self_attn.k_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,364,decode,0,model.layers.0.self_attn.v_proj,linear,,B,5120,5120,,model.layers.0.self_attn.v_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,365,decode,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,1,KV,128,362;363,,,config+architecture,"GQA QH=40, KVH=40"
models--codellama--CodeLlama-13b-Instruct-hf,366,decode,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,1,128,KV,365;364,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--codellama--CodeLlama-13b-Instruct-hf,367,decode,0,model.layers.0.self_attn.o_proj,linear,,B,5120,5120,366,model.layers.0.self_attn.o_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,368,decode,0,model.layers.0.mlp.gate_proj,linear,,B,13824,5120,367,model.layers.0.mlp.gate_proj.weight,"[13824,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,369,decode,0,model.layers.0.mlp.up_proj,linear,,B,13824,5120,367,model.layers.0.mlp.up_proj.weight,"[13824,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,370,decode,0,model.layers.0.mlp.down_proj,linear,,B,5120,13824,368;369,model.layers.0.mlp.down_proj.weight,"[5120,13824]",config+architecture,SiLU(gate)*up precedes this GEMM
models--codellama--CodeLlama-13b-Instruct-hf,371,decode,1,model.layers.1.self_attn.q_proj,linear,,B,5120,5120,370,model.layers.1.self_attn.q_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,372,decode,1,model.layers.1.self_attn.k_proj,linear,,B,5120,5120,370,model.layers.1.self_attn.k_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,373,decode,1,model.layers.1.self_attn.v_proj,linear,,B,5120,5120,370,model.layers.1.self_attn.v_proj.weight,"[5120,5120]",config+architecture,
models--codellama--CodeLlama-13b-Instruct-hf,374,decode,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,1,KV,128,371;372,,,config+architecture,"GQA QH=40, KVH=40"
models--codellama--CodeLlama-13b-Instruct-hf,375,decode,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,1,128,KV,374;373,,,config+architecture,softmax/mask is a non-matmul dependency bridge
