model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Qwen--Qwen3-8B,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,4096,4096,,model.layers.0.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--Qwen--Qwen3-8B,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,1024,4096,,model.layers.0.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--Qwen--Qwen3-8B,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,1024,4096,,model.layers.0.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--Qwen--Qwen3-8B,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=32, KVH=8"
models--Qwen--Qwen3-8B,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--Qwen--Qwen3-8B,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,4096,4096,5,model.layers.0.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--Qwen--Qwen3-8B,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,12288,4096,6,model.layers.0.mlp.gate_proj.weight,"[12288,4096]",config+architecture,
models--Qwen--Qwen3-8B,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,12288,4096,6,model.layers.0.mlp.up_proj.weight,"[12288,4096]",config+architecture,
models--Qwen--Qwen3-8B,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,4096,12288,7;8,model.layers.0.mlp.down_proj.weight,"[4096,12288]",config+architecture,SiLU(gate)*up precedes this GEMM
models--Qwen--Qwen3-8B,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,4096,4096,9,model.layers.1.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--Qwen--Qwen3-8B,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,1024,4096,9,model.layers.1.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--Qwen--Qwen3-8B,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,1024,4096,9,model.layers.1.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--Qwen--Qwen3-8B,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=32, KVH=8"
