model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-large-v3,1,encoder,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,1280,384,,encoder.conv1.weight,"[1280,128,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--Systran--faster-whisper-large-v3,2,encoder,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,1280,3840,1,encoder.conv2.weight,"[1280,1280,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--Systran--faster-whisper-large-v3,3,encoder,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,1280,1280,2,encoder.layers.0.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,4,encoder,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,1280,1280,2,encoder.layers.0.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,5,encoder,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,1280,1280,2,encoder.layers.0.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,6,encoder,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--Systran--faster-whisper-large-v3,7,encoder,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--Systran--faster-whisper-large-v3,8,encoder,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,1280,1280,7,encoder.layers.0.self_attn.out_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,9,encoder,0,encoder.layers.0.fc1,linear,,B*T_enc,5120,1280,8,encoder.layers.0.fc1.weight,"[5120,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,10,encoder,0,encoder.layers.0.fc2,linear,,B*T_enc,1280,5120,9,encoder.layers.0.fc2.weight,"[1280,5120]",config+architecture,
models--Systran--faster-whisper-large-v3,11,encoder,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,1280,1280,10,encoder.layers.1.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,12,encoder,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,1280,1280,10,encoder.layers.1.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,13,encoder,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,1280,1280,10,encoder.layers.1.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,14,encoder,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--Systran--faster-whisper-large-v3,15,encoder,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
models--Systran--faster-whisper-large-v3,16,encoder,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_enc,1280,1280,15,encoder.layers.1.self_attn.out_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,17,encoder,1,encoder.layers.1.fc1,linear,,B*T_enc,5120,1280,16,encoder.layers.1.fc1.weight,"[5120,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,18,encoder,1,encoder.layers.1.fc2,linear,,B*T_enc,1280,5120,17,encoder.layers.1.fc2.weight,"[1280,5120]",config+architecture,
models--Systran--faster-whisper-large-v3,19,encoder,2,encoder.layers.2.self_attn.q_proj,linear,,B*T_enc,1280,1280,18,encoder.layers.2.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,20,encoder,2,encoder.layers.2.self_attn.k_proj,linear,,B*T_enc,1280,1280,18,encoder.layers.2.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,21,encoder,2,encoder.layers.2.self_attn.v_proj,linear,,B*T_enc,1280,1280,18,encoder.layers.2.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,22,encoder,2,encoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,19;20,,,config+architecture,
models--Systran--faster-whisper-large-v3,23,encoder,2,encoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,22;21,,,config+architecture,
models--Systran--faster-whisper-large-v3,24,encoder,2,encoder.layers.2.self_attn.out_proj,linear,,B*T_enc,1280,1280,23,encoder.layers.2.self_attn.out_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,25,encoder,2,encoder.layers.2.fc1,linear,,B*T_enc,5120,1280,24,encoder.layers.2.fc1.weight,"[5120,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,26,encoder,2,encoder.layers.2.fc2,linear,,B*T_enc,1280,5120,25,encoder.layers.2.fc2.weight,"[1280,5120]",config+architecture,
models--Systran--faster-whisper-large-v3,27,encoder,3,encoder.layers.3.self_attn.q_proj,linear,,B*T_enc,1280,1280,26,encoder.layers.3.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,28,encoder,3,encoder.layers.3.self_attn.k_proj,linear,,B*T_enc,1280,1280,26,encoder.layers.3.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,29,encoder,3,encoder.layers.3.self_attn.v_proj,linear,,B*T_enc,1280,1280,26,encoder.layers.3.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,30,encoder,3,encoder.layers.3.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,27;28,,,config+architecture,
models--Systran--faster-whisper-large-v3,31,encoder,3,encoder.layers.3.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,30;29,,,config+architecture,
models--Systran--faster-whisper-large-v3,32,encoder,3,encoder.layers.3.self_attn.out_proj,linear,,B*T_enc,1280,1280,31,encoder.layers.3.self_attn.out_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,33,encoder,3,encoder.layers.3.fc1,linear,,B*T_enc,5120,1280,32,encoder.layers.3.fc1.weight,"[5120,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,34,encoder,3,encoder.layers.3.fc2,linear,,B*T_enc,1280,5120,33,encoder.layers.3.fc2.weight,"[1280,5120]",config+architecture,
models--Systran--faster-whisper-large-v3,35,encoder,4,encoder.layers.4.self_attn.q_proj,linear,,B*T_enc,1280,1280,34,encoder.layers.4.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,36,encoder,4,encoder.layers.4.self_attn.k_proj,linear,,B*T_enc,1280,1280,34,encoder.layers.4.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,37,encoder,4,encoder.layers.4.self_attn.v_proj,linear,,B*T_enc,1280,1280,34,encoder.layers.4.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--Systran--faster-whisper-large-v3,38,encoder,4,encoder.layers.4.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,35;36,,,config+architecture,
models--Systran--faster-whisper-large-v3,39,encoder,4,encoder.layers.4.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,38;37,,,config+architecture,
