model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-medium,1,encoder,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,1024,240,,encoder.conv1.weight,"[1024,80,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--Systran--faster-whisper-medium,2,encoder,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,1024,3072,1,encoder.conv2.weight,"[1024,1024,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--Systran--faster-whisper-medium,3,encoder,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,1024,1024,2,encoder.layers.0.self_attn.q_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,4,encoder,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,1024,1024,2,encoder.layers.0.self_attn.k_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,5,encoder,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,1024,1024,2,encoder.layers.0.self_attn.v_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,6,encoder,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--Systran--faster-whisper-medium,7,encoder,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--Systran--faster-whisper-medium,8,encoder,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,1024,1024,7,encoder.layers.0.self_attn.out_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,9,encoder,0,encoder.layers.0.fc1,linear,,B*T_enc,4096,1024,8,encoder.layers.0.fc1.weight,"[4096,1024]",config+architecture,
models--Systran--faster-whisper-medium,10,encoder,0,encoder.layers.0.fc2,linear,,B*T_enc,1024,4096,9,encoder.layers.0.fc2.weight,"[1024,4096]",config+architecture,
models--Systran--faster-whisper-medium,11,encoder,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,1024,1024,10,encoder.layers.1.self_attn.q_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,12,encoder,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,1024,1024,10,encoder.layers.1.self_attn.k_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,13,encoder,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,1024,1024,10,encoder.layers.1.self_attn.v_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,14,encoder,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--Systran--faster-whisper-medium,15,encoder,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
models--Systran--faster-whisper-medium,16,encoder,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_enc,1024,1024,15,encoder.layers.1.self_attn.out_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,17,encoder,1,encoder.layers.1.fc1,linear,,B*T_enc,4096,1024,16,encoder.layers.1.fc1.weight,"[4096,1024]",config+architecture,
models--Systran--faster-whisper-medium,18,encoder,1,encoder.layers.1.fc2,linear,,B*T_enc,1024,4096,17,encoder.layers.1.fc2.weight,"[1024,4096]",config+architecture,
models--Systran--faster-whisper-medium,19,encoder,2,encoder.layers.2.self_attn.q_proj,linear,,B*T_enc,1024,1024,18,encoder.layers.2.self_attn.q_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,20,encoder,2,encoder.layers.2.self_attn.k_proj,linear,,B*T_enc,1024,1024,18,encoder.layers.2.self_attn.k_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,21,encoder,2,encoder.layers.2.self_attn.v_proj,linear,,B*T_enc,1024,1024,18,encoder.layers.2.self_attn.v_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,22,encoder,2,encoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,19;20,,,config+architecture,
models--Systran--faster-whisper-medium,23,encoder,2,encoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,22;21,,,config+architecture,
models--Systran--faster-whisper-medium,24,encoder,2,encoder.layers.2.self_attn.out_proj,linear,,B*T_enc,1024,1024,23,encoder.layers.2.self_attn.out_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,25,encoder,2,encoder.layers.2.fc1,linear,,B*T_enc,4096,1024,24,encoder.layers.2.fc1.weight,"[4096,1024]",config+architecture,
models--Systran--faster-whisper-medium,26,encoder,2,encoder.layers.2.fc2,linear,,B*T_enc,1024,4096,25,encoder.layers.2.fc2.weight,"[1024,4096]",config+architecture,
models--Systran--faster-whisper-medium,27,encoder,3,encoder.layers.3.self_attn.q_proj,linear,,B*T_enc,1024,1024,26,encoder.layers.3.self_attn.q_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,28,encoder,3,encoder.layers.3.self_attn.k_proj,linear,,B*T_enc,1024,1024,26,encoder.layers.3.self_attn.k_proj.weight,"[1024,1024]",config+architecture,
models--Systran--faster-whisper-medium,29,encoder,3,encoder.layers.3.self_attn.v_proj,linear,,B*T_enc,1024,1024,26,encoder.layers.3.self_attn.v_proj.weight,"[1024,1024]",config+architecture,
