model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-small,1,encoder,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,768,240,,encoder.conv1.weight,"[768,80,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--Systran--faster-whisper-small,2,encoder,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,768,2304,1,encoder.conv2.weight,"[768,768,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--Systran--faster-whisper-small,3,encoder,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,768,768,2,encoder.layers.0.self_attn.q_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,4,encoder,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,768,768,2,encoder.layers.0.self_attn.k_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,5,encoder,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,768,768,2,encoder.layers.0.self_attn.v_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,6,encoder,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--Systran--faster-whisper-small,7,encoder,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--Systran--faster-whisper-small,8,encoder,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,768,768,7,encoder.layers.0.self_attn.out_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,9,encoder,0,encoder.layers.0.fc1,linear,,B*T_enc,3072,768,8,encoder.layers.0.fc1.weight,"[3072,768]",config+architecture,
models--Systran--faster-whisper-small,10,encoder,0,encoder.layers.0.fc2,linear,,B*T_enc,768,3072,9,encoder.layers.0.fc2.weight,"[768,3072]",config+architecture,
models--Systran--faster-whisper-small,11,encoder,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,768,768,10,encoder.layers.1.self_attn.q_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,12,encoder,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,768,768,10,encoder.layers.1.self_attn.k_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,13,encoder,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,768,768,10,encoder.layers.1.self_attn.v_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,14,encoder,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--Systran--faster-whisper-small,15,encoder,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
models--Systran--faster-whisper-small,16,encoder,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_enc,768,768,15,encoder.layers.1.self_attn.out_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,17,encoder,1,encoder.layers.1.fc1,linear,,B*T_enc,3072,768,16,encoder.layers.1.fc1.weight,"[3072,768]",config+architecture,
models--Systran--faster-whisper-small,18,encoder,1,encoder.layers.1.fc2,linear,,B*T_enc,768,3072,17,encoder.layers.1.fc2.weight,"[768,3072]",config+architecture,
models--Systran--faster-whisper-small,19,encoder,2,encoder.layers.2.self_attn.q_proj,linear,,B*T_enc,768,768,18,encoder.layers.2.self_attn.q_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,20,encoder,2,encoder.layers.2.self_attn.k_proj,linear,,B*T_enc,768,768,18,encoder.layers.2.self_attn.k_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,21,encoder,2,encoder.layers.2.self_attn.v_proj,linear,,B*T_enc,768,768,18,encoder.layers.2.self_attn.v_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,22,encoder,2,encoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,19;20,,,config+architecture,
models--Systran--faster-whisper-small,23,encoder,2,encoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,22;21,,,config+architecture,
models--Systran--faster-whisper-small,24,encoder,2,encoder.layers.2.self_attn.out_proj,linear,,B*T_enc,768,768,23,encoder.layers.2.self_attn.out_proj.weight,"[768,768]",config+architecture,
models--Systran--faster-whisper-small,25,encoder,2,encoder.layers.2.fc1,linear,,B*T_enc,3072,768,24,encoder.layers.2.fc1.weight,"[3072,768]",config+architecture,
