model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--Systran--faster-whisper-tiny,1,encoder,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,384,240,,encoder.conv1.weight,"[384,80,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--Systran--faster-whisper-tiny,2,encoder,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,384,1152,1,encoder.conv2.weight,"[384,384,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--Systran--faster-whisper-tiny,3,encoder,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,384,384,2,encoder.layers.0.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,4,encoder,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,384,384,2,encoder.layers.0.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,5,encoder,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,384,384,2,encoder.layers.0.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,6,encoder,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--Systran--faster-whisper-tiny,7,encoder,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--Systran--faster-whisper-tiny,8,encoder,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,384,384,7,encoder.layers.0.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,9,encoder,0,encoder.layers.0.fc1,linear,,B*T_enc,1536,384,8,encoder.layers.0.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,10,encoder,0,encoder.layers.0.fc2,linear,,B*T_enc,384,1536,9,encoder.layers.0.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,11,encoder,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,384,384,10,encoder.layers.1.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,12,encoder,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,384,384,10,encoder.layers.1.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,13,encoder,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,384,384,10,encoder.layers.1.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,14,encoder,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--Systran--faster-whisper-tiny,15,encoder,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
models--Systran--faster-whisper-tiny,16,encoder,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_enc,384,384,15,encoder.layers.1.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,17,encoder,1,encoder.layers.1.fc1,linear,,B*T_enc,1536,384,16,encoder.layers.1.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,18,encoder,1,encoder.layers.1.fc2,linear,,B*T_enc,384,1536,17,encoder.layers.1.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,19,encoder,2,encoder.layers.2.self_attn.q_proj,linear,,B*T_enc,384,384,18,encoder.layers.2.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,20,encoder,2,encoder.layers.2.self_attn.k_proj,linear,,B*T_enc,384,384,18,encoder.layers.2.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,21,encoder,2,encoder.layers.2.self_attn.v_proj,linear,,B*T_enc,384,384,18,encoder.layers.2.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,22,encoder,2,encoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,19;20,,,config+architecture,
models--Systran--faster-whisper-tiny,23,encoder,2,encoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,22;21,,,config+architecture,
models--Systran--faster-whisper-tiny,24,encoder,2,encoder.layers.2.self_attn.out_proj,linear,,B*T_enc,384,384,23,encoder.layers.2.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,25,encoder,2,encoder.layers.2.fc1,linear,,B*T_enc,1536,384,24,encoder.layers.2.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,26,encoder,2,encoder.layers.2.fc2,linear,,B*T_enc,384,1536,25,encoder.layers.2.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,27,encoder,3,encoder.layers.3.self_attn.q_proj,linear,,B*T_enc,384,384,26,encoder.layers.3.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,28,encoder,3,encoder.layers.3.self_attn.k_proj,linear,,B*T_enc,384,384,26,encoder.layers.3.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,29,encoder,3,encoder.layers.3.self_attn.v_proj,linear,,B*T_enc,384,384,26,encoder.layers.3.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,30,encoder,3,encoder.layers.3.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,27;28,,,config+architecture,
models--Systran--faster-whisper-tiny,31,encoder,3,encoder.layers.3.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,30;29,,,config+architecture,
models--Systran--faster-whisper-tiny,32,encoder,3,encoder.layers.3.self_attn.out_proj,linear,,B*T_enc,384,384,31,encoder.layers.3.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,33,encoder,3,encoder.layers.3.fc1,linear,,B*T_enc,1536,384,32,encoder.layers.3.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,34,encoder,3,encoder.layers.3.fc2,linear,,B*T_enc,384,1536,33,encoder.layers.3.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,35,decoder_prefill,0,decoder.layers.0.self_attn.q_proj,linear,,B*T_dec,384,384,,decoder.layers.0.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,36,decoder_prefill,0,decoder.layers.0.self_attn.k_proj,linear,,B*T_dec,384,384,,decoder.layers.0.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,37,decoder_prefill,0,decoder.layers.0.self_attn.v_proj,linear,,B*T_dec,384,384,,decoder.layers.0.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,38,decoder_prefill,0,decoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,35;36,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-tiny,39,decoder_prefill,0,decoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,38;37,,,config+architecture,
models--Systran--faster-whisper-tiny,40,decoder_prefill,0,decoder.layers.0.self_attn.out_proj,linear,,B*T_dec,384,384,39,decoder.layers.0.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,41,decoder_prefill,0,decoder.layers.0.encoder_attn.q_proj,linear,,B*T_dec,384,384,40,decoder.layers.0.encoder_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,42,decoder_prefill,0,decoder.layers.0.encoder_attn.k_proj,linear,,B*T_enc,384,384,34,decoder.layers.0.encoder_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,43,decoder_prefill,0,decoder.layers.0.encoder_attn.v_proj,linear,,B*T_enc,384,384,34,decoder.layers.0.encoder_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,44,decoder_prefill,0,decoder.layers.0.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,41;42,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-tiny,45,decoder_prefill,0,decoder.layers.0.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,44;43,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-tiny,46,decoder_prefill,0,decoder.layers.0.encoder_attn.out_proj,linear,,B*T_dec,384,384,45,decoder.layers.0.encoder_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,47,decoder_prefill,0,decoder.layers.0.fc1,linear,,B*T_dec,1536,384,46,decoder.layers.0.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,48,decoder_prefill,0,decoder.layers.0.fc2,linear,,B*T_dec,384,1536,47,decoder.layers.0.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,49,decoder_prefill,1,decoder.layers.1.self_attn.q_proj,linear,,B*T_dec,384,384,48,decoder.layers.1.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,50,decoder_prefill,1,decoder.layers.1.self_attn.k_proj,linear,,B*T_dec,384,384,48,decoder.layers.1.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,51,decoder_prefill,1,decoder.layers.1.self_attn.v_proj,linear,,B*T_dec,384,384,48,decoder.layers.1.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,52,decoder_prefill,1,decoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,49;50,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-tiny,53,decoder_prefill,1,decoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,52;51,,,config+architecture,
models--Systran--faster-whisper-tiny,54,decoder_prefill,1,decoder.layers.1.self_attn.out_proj,linear,,B*T_dec,384,384,53,decoder.layers.1.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,55,decoder_prefill,1,decoder.layers.1.encoder_attn.q_proj,linear,,B*T_dec,384,384,54,decoder.layers.1.encoder_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,56,decoder_prefill,1,decoder.layers.1.encoder_attn.k_proj,linear,,B*T_enc,384,384,34,decoder.layers.1.encoder_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,57,decoder_prefill,1,decoder.layers.1.encoder_attn.v_proj,linear,,B*T_enc,384,384,34,decoder.layers.1.encoder_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,58,decoder_prefill,1,decoder.layers.1.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,55;56,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-tiny,59,decoder_prefill,1,decoder.layers.1.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,58;57,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-tiny,60,decoder_prefill,1,decoder.layers.1.encoder_attn.out_proj,linear,,B*T_dec,384,384,59,decoder.layers.1.encoder_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,61,decoder_prefill,1,decoder.layers.1.fc1,linear,,B*T_dec,1536,384,60,decoder.layers.1.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,62,decoder_prefill,1,decoder.layers.1.fc2,linear,,B*T_dec,384,1536,61,decoder.layers.1.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,63,decoder_prefill,2,decoder.layers.2.self_attn.q_proj,linear,,B*T_dec,384,384,62,decoder.layers.2.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,64,decoder_prefill,2,decoder.layers.2.self_attn.k_proj,linear,,B*T_dec,384,384,62,decoder.layers.2.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,65,decoder_prefill,2,decoder.layers.2.self_attn.v_proj,linear,,B*T_dec,384,384,62,decoder.layers.2.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,66,decoder_prefill,2,decoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,63;64,,,config+architecture,decode uses existing self-attention KV cache
models--Systran--faster-whisper-tiny,67,decoder_prefill,2,decoder.layers.2.self_attn.pv,batched_matmul,B*heads,T_dec,64,T_dec,66;65,,,config+architecture,
models--Systran--faster-whisper-tiny,68,decoder_prefill,2,decoder.layers.2.self_attn.out_proj,linear,,B*T_dec,384,384,67,decoder.layers.2.self_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,69,decoder_prefill,2,decoder.layers.2.encoder_attn.q_proj,linear,,B*T_dec,384,384,68,decoder.layers.2.encoder_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,70,decoder_prefill,2,decoder.layers.2.encoder_attn.k_proj,linear,,B*T_enc,384,384,34,decoder.layers.2.encoder_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,71,decoder_prefill,2,decoder.layers.2.encoder_attn.v_proj,linear,,B*T_enc,384,384,34,decoder.layers.2.encoder_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,72,decoder_prefill,2,decoder.layers.2.encoder_attn.qk,batched_matmul,B*heads,T_dec,T_enc,64,69;70,,,config+architecture,cross-attention K is cached during decode step
models--Systran--faster-whisper-tiny,73,decoder_prefill,2,decoder.layers.2.encoder_attn.pv,batched_matmul,B*heads,T_dec,64,T_enc,72;71,,,config+architecture,cross-attention V is cached during decode step
models--Systran--faster-whisper-tiny,74,decoder_prefill,2,decoder.layers.2.encoder_attn.out_proj,linear,,B*T_dec,384,384,73,decoder.layers.2.encoder_attn.out_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,75,decoder_prefill,2,decoder.layers.2.fc1,linear,,B*T_dec,1536,384,74,decoder.layers.2.fc1.weight,"[1536,384]",config+architecture,
models--Systran--faster-whisper-tiny,76,decoder_prefill,2,decoder.layers.2.fc2,linear,,B*T_dec,384,1536,75,decoder.layers.2.fc2.weight,"[384,1536]",config+architecture,
models--Systran--faster-whisper-tiny,77,decoder_prefill,3,decoder.layers.3.self_attn.q_proj,linear,,B*T_dec,384,384,76,decoder.layers.3.self_attn.q_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,78,decoder_prefill,3,decoder.layers.3.self_attn.k_proj,linear,,B*T_dec,384,384,76,decoder.layers.3.self_attn.k_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,79,decoder_prefill,3,decoder.layers.3.self_attn.v_proj,linear,,B*T_dec,384,384,76,decoder.layers.3.self_attn.v_proj.weight,"[384,384]",config+architecture,
models--Systran--faster-whisper-tiny,80,decoder_prefill,3,decoder.layers.3.self_attn.qk,batched_matmul,B*heads,T_dec,T_dec,64,77;78,,,config+architecture,decode uses existing self-attention KV cache
