model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--amphion--MaskGCT,1,codec_encode,embed,encoder.0.embed,conv1d_im2col_equivalent,,B*L_codec,384,7168,,encoder.0.embed.weight,"[384, 1024, 7]",checkpoint_shape+inferred_codec_topology,padding/stride are absent from checkpoint; output length kept symbolic
models--amphion--MaskGCT,2,codec_encode,0,encoder.0.convnext.0.dwconv,grouped_conv1d_im2col_equivalent,groups=384,B*L_codec,1,7,1,encoder.0.convnext.0.dwconv.weight,"[384, 1, 7]",checkpoint_shape+inferred_codec_topology,depthwise ConvNeXt convolution
models--amphion--MaskGCT,3,codec_encode,0,encoder.0.convnext.0.pwconv1,linear,,B*L_codec,2048,384,2,encoder.0.convnext.0.pwconv1.weight,"[2048, 384]",checkpoint_shape+inferred_codec_topology,
models--amphion--MaskGCT,4,codec_encode,0,encoder.0.convnext.0.pwconv2,linear,,B*L_codec,384,2048,3,encoder.0.convnext.0.pwconv2.weight,"[384, 2048]",checkpoint_shape+inferred_codec_topology,
models--amphion--MaskGCT,5,codec_encode,1,encoder.0.convnext.1.dwconv,grouped_conv1d_im2col_equivalent,groups=384,B*L_codec,1,7,4,encoder.0.convnext.1.dwconv.weight,"[384, 1, 7]",checkpoint_shape+inferred_codec_topology,depthwise ConvNeXt convolution
models--amphion--MaskGCT,6,codec_encode,1,encoder.0.convnext.1.pwconv1,linear,,B*L_codec,2048,384,5,encoder.0.convnext.1.pwconv1.weight,"[2048, 384]",checkpoint_shape+inferred_codec_topology,
models--amphion--MaskGCT,7,codec_encode,1,encoder.0.convnext.1.pwconv2,linear,,B*L_codec,384,2048,6,encoder.0.convnext.1.pwconv2.weight,"[384, 2048]",checkpoint_shape+inferred_codec_topology,
models--amphion--MaskGCT,8,codec_encode,2,encoder.0.convnext.2.dwconv,grouped_conv1d_im2col_equivalent,groups=384,B*L_codec,1,7,7,encoder.0.convnext.2.dwconv.weight,"[384, 1, 7]",checkpoint_shape+inferred_codec_topology,depthwise ConvNeXt convolution
models--amphion--MaskGCT,9,codec_encode,2,encoder.0.convnext.2.pwconv1,linear,,B*L_codec,2048,384,8,encoder.0.convnext.2.pwconv1.weight,"[2048, 384]",checkpoint_shape+inferred_codec_topology,
models--amphion--MaskGCT,10,codec_encode,2,encoder.0.convnext.2.pwconv2,linear,,B*L_codec,384,2048,9,encoder.0.convnext.2.pwconv2.weight,"[384, 2048]",checkpoint_shape+inferred_codec_topology,
