model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--facebook--w2v-bert-2.0,1,encode,frontend,feature_projection.projection,linear,,B*T_feat,1024,160,,feature_projection.projection.weight,"[1024,160]",config+architecture,
models--facebook--w2v-bert-2.0,2,encode,0,encoder.layers.0.ffn1.intermediate,linear,,B*T_feat,4096,1024,1,encoder.layers.0.ffn1.intermediate_dense.weight,"[4096,1024]",config+architecture,
models--facebook--w2v-bert-2.0,3,encode,0,encoder.layers.0.ffn1.output,linear,,B*T_feat,1024,4096,2,encoder.layers.0.ffn1.output_dense.weight,"[1024,4096]",config+architecture,
models--facebook--w2v-bert-2.0,4,encode,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_feat,1024,1024,3,encoder.layers.0.self_attn.linear_q.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,5,encode,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_feat,1024,1024,3,encoder.layers.0.self_attn.linear_k.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,6,encode,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_feat,1024,1024,3,encoder.layers.0.self_attn.linear_v.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,7,encode,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_feat,T_feat,64,4;5,,,config+architecture,
models--facebook--w2v-bert-2.0,8,encode,0,encoder.layers.0.self_attn.relative_key_scores,einsum_matmul,B*heads*T_feat,1,T_feat,64,4,encoder.layers.0.self_attn.distance_embedding.weight,"[73,64]",config+architecture,"relative_key einsum bhld,lrd->bhlr; distance embedding itself is a lookup"
models--facebook--w2v-bert-2.0,9,encode,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_feat,64,T_feat,7;8;6,,,config+architecture,content and relative-key scores are added before softmax
models--facebook--w2v-bert-2.0,10,encode,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_feat,1024,1024,9,encoder.layers.0.self_attn.linear_out.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,11,encode,0,encoder.layers.0.conv_module.pointwise_in,linear,,B*T_feat,2048,1024,10,encoder.layers.0.conv_module.pointwise_conv1.weight,"[2048,1024,1]",config+architecture,
models--facebook--w2v-bert-2.0,12,encode,0,encoder.layers.0.conv_module.depthwise,grouped_conv1d_im2col_equivalent,groups=1024,B*T_feat,1,31,11,encoder.layers.0.conv_module.depthwise_conv.weight,"[1024,1,31]",config+architecture,one independent dot per channel
models--facebook--w2v-bert-2.0,13,encode,0,encoder.layers.0.conv_module.pointwise_out,linear,,B*T_feat,1024,1024,12,encoder.layers.0.conv_module.pointwise_conv2.weight,"[1024,1024,1]",config+architecture,
models--facebook--w2v-bert-2.0,14,encode,0,encoder.layers.0.ffn2.intermediate,linear,,B*T_feat,4096,1024,13,encoder.layers.0.ffn2.intermediate_dense.weight,"[4096,1024]",config+architecture,
models--facebook--w2v-bert-2.0,15,encode,0,encoder.layers.0.ffn2.output,linear,,B*T_feat,1024,4096,14,encoder.layers.0.ffn2.output_dense.weight,"[1024,4096]",config+architecture,
models--facebook--w2v-bert-2.0,16,encode,1,encoder.layers.1.ffn1.intermediate,linear,,B*T_feat,4096,1024,15,encoder.layers.1.ffn1.intermediate_dense.weight,"[4096,1024]",config+architecture,
models--facebook--w2v-bert-2.0,17,encode,1,encoder.layers.1.ffn1.output,linear,,B*T_feat,1024,4096,16,encoder.layers.1.ffn1.output_dense.weight,"[1024,4096]",config+architecture,
models--facebook--w2v-bert-2.0,18,encode,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_feat,1024,1024,17,encoder.layers.1.self_attn.linear_q.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,19,encode,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_feat,1024,1024,17,encoder.layers.1.self_attn.linear_k.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,20,encode,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_feat,1024,1024,17,encoder.layers.1.self_attn.linear_v.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,21,encode,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_feat,T_feat,64,18;19,,,config+architecture,
models--facebook--w2v-bert-2.0,22,encode,1,encoder.layers.1.self_attn.relative_key_scores,einsum_matmul,B*heads*T_feat,1,T_feat,64,18,encoder.layers.1.self_attn.distance_embedding.weight,"[73,64]",config+architecture,"relative_key einsum bhld,lrd->bhlr; distance embedding itself is a lookup"
models--facebook--w2v-bert-2.0,23,encode,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_feat,64,T_feat,21;22;20,,,config+architecture,content and relative-key scores are added before softmax
models--facebook--w2v-bert-2.0,24,encode,1,encoder.layers.1.self_attn.out_proj,linear,,B*T_feat,1024,1024,23,encoder.layers.1.self_attn.linear_out.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,25,encode,1,encoder.layers.1.conv_module.pointwise_in,linear,,B*T_feat,2048,1024,24,encoder.layers.1.conv_module.pointwise_conv1.weight,"[2048,1024,1]",config+architecture,
models--facebook--w2v-bert-2.0,26,encode,1,encoder.layers.1.conv_module.depthwise,grouped_conv1d_im2col_equivalent,groups=1024,B*T_feat,1,31,25,encoder.layers.1.conv_module.depthwise_conv.weight,"[1024,1,31]",config+architecture,one independent dot per channel
models--facebook--w2v-bert-2.0,27,encode,1,encoder.layers.1.conv_module.pointwise_out,linear,,B*T_feat,1024,1024,26,encoder.layers.1.conv_module.pointwise_conv2.weight,"[1024,1024,1]",config+architecture,
models--facebook--w2v-bert-2.0,28,encode,1,encoder.layers.1.ffn2.intermediate,linear,,B*T_feat,4096,1024,27,encoder.layers.1.ffn2.intermediate_dense.weight,"[4096,1024]",config+architecture,
models--facebook--w2v-bert-2.0,29,encode,1,encoder.layers.1.ffn2.output,linear,,B*T_feat,1024,4096,28,encoder.layers.1.ffn2.output_dense.weight,"[1024,4096]",config+architecture,
models--facebook--w2v-bert-2.0,30,encode,2,encoder.layers.2.ffn1.intermediate,linear,,B*T_feat,4096,1024,29,encoder.layers.2.ffn1.intermediate_dense.weight,"[4096,1024]",config+architecture,
models--facebook--w2v-bert-2.0,31,encode,2,encoder.layers.2.ffn1.output,linear,,B*T_feat,1024,4096,30,encoder.layers.2.ffn1.output_dense.weight,"[1024,4096]",config+architecture,
models--facebook--w2v-bert-2.0,32,encode,2,encoder.layers.2.self_attn.q_proj,linear,,B*T_feat,1024,1024,31,encoder.layers.2.self_attn.linear_q.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,33,encode,2,encoder.layers.2.self_attn.k_proj,linear,,B*T_feat,1024,1024,31,encoder.layers.2.self_attn.linear_k.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,34,encode,2,encoder.layers.2.self_attn.v_proj,linear,,B*T_feat,1024,1024,31,encoder.layers.2.self_attn.linear_v.weight,"[1024,1024]",config+architecture,
models--facebook--w2v-bert-2.0,35,encode,2,encoder.layers.2.self_attn.qk,batched_matmul,B*heads,T_feat,T_feat,64,32;33,,,config+architecture,
models--facebook--w2v-bert-2.0,36,encode,2,encoder.layers.2.self_attn.relative_key_scores,einsum_matmul,B*heads*T_feat,1,T_feat,64,32,encoder.layers.2.self_attn.distance_embedding.weight,"[73,64]",config+architecture,"relative_key einsum bhld,lrd->bhlr; distance embedding itself is a lookup"
