model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--funasr--campplus,1,speaker_encode,head,head.conv1,conv2d_im2col_equivalent,,B*F0*T_feat,32,9,,head.conv1.weight,"[32, 1, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"F0=80; stride=(1,1)"
models--funasr--campplus,2,speaker_encode,head.layer1.0,head.layer1.0.conv1,conv2d_im2col_equivalent,,B*F1*T_feat,32,288,1,head.layer1.0.conv1.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(2,1)"
models--funasr--campplus,3,speaker_encode,head.layer1.0,head.layer1.0.conv2,conv2d_im2col_equivalent,,B*F1*T_feat,32,288,2,head.layer1.0.conv2.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(1,1)"
models--funasr--campplus,4,speaker_encode,head.layer1.0,head.layer1.0.shortcut.0,conv2d_im2col_equivalent,,B*F1*T_feat,32,32,1,head.layer1.0.shortcut.0.weight,"[32, 32, 1, 1]",checkpoint_shape+official_CAMPPlus_forward,"stride=(2,1); residual shortcut"
models--funasr--campplus,5,speaker_encode,head.layer1.1,head.layer1.1.conv1,conv2d_im2col_equivalent,,B*F1*T_feat,32,288,3;4,head.layer1.1.conv1.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(1,1)"
models--funasr--campplus,6,speaker_encode,head.layer1.1,head.layer1.1.conv2,conv2d_im2col_equivalent,,B*F1*T_feat,32,288,5,head.layer1.1.conv2.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(1,1)"
models--funasr--campplus,7,speaker_encode,head.layer2.0,head.layer2.0.conv1,conv2d_im2col_equivalent,,B*F2*T_feat,32,288,6;3;4,head.layer2.0.conv1.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(2,1)"
models--funasr--campplus,8,speaker_encode,head.layer2.0,head.layer2.0.conv2,conv2d_im2col_equivalent,,B*F2*T_feat,32,288,7,head.layer2.0.conv2.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(1,1)"
models--funasr--campplus,9,speaker_encode,head.layer2.0,head.layer2.0.shortcut.0,conv2d_im2col_equivalent,,B*F2*T_feat,32,32,6;3;4,head.layer2.0.shortcut.0.weight,"[32, 32, 1, 1]",checkpoint_shape+official_CAMPPlus_forward,"stride=(2,1); residual shortcut"
models--funasr--campplus,10,speaker_encode,head.layer2.1,head.layer2.1.conv1,conv2d_im2col_equivalent,,B*F2*T_feat,32,288,8;9,head.layer2.1.conv1.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(1,1)"
models--funasr--campplus,11,speaker_encode,head.layer2.1,head.layer2.1.conv2,conv2d_im2col_equivalent,,B*F2*T_feat,32,288,10,head.layer2.1.conv2.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(1,1)"
models--funasr--campplus,12,speaker_encode,head,head.conv2,conv2d_im2col_equivalent,,B*F3*T_feat,32,288,11;8;9,head.conv2.weight,"[32, 32, 3, 3]",checkpoint_shape+official_CAMPPlus_forward,"stride=(2,1); F1=40,F2=20,F3=10"
models--funasr--campplus,13,speaker_encode,tdnn,xvector.tdnn.linear,conv1d_im2col_equivalent,,B*T_tdnn,128,1600,12,xvector.tdnn.linear.weight,"[128, 320, 5]",checkpoint_shape+official_CAMPPlus_forward,"dilation=1; kernel=5,stride=2,padding=2; T_tdnn=ceil(T_feat/2)"
models--funasr--campplus,14,speaker_encode,block1.1,xvector.block1.tdnnd1.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,128,13,xvector.block1.tdnnd1.linear1.weight,"[128, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,15,speaker_encode,block1.1,xvector.block1.tdnnd1.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,14,xvector.block1.tdnnd1.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM local branch
models--funasr--campplus,16,speaker_encode,block1.1,xvector.block1.tdnnd1.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,14,xvector.block1.tdnnd1.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,17,speaker_encode,block1.1,xvector.block1.tdnnd1.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,16,xvector.block1.tdnnd1.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
models--funasr--campplus,18,speaker_encode,block1.2,xvector.block1.tdnnd2.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,160,15;17,xvector.block1.tdnnd2.linear1.weight,"[128, 160, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,19,speaker_encode,block1.2,xvector.block1.tdnnd2.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,18,xvector.block1.tdnnd2.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM local branch
models--funasr--campplus,20,speaker_encode,block1.2,xvector.block1.tdnnd2.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,18,xvector.block1.tdnnd2.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
models--funasr--campplus,21,speaker_encode,block1.2,xvector.block1.tdnnd2.cam_layer.linear2,conv1d_im2col_equivalent,,B*T_tdnn,32,64,20,xvector.block1.tdnnd2.cam_layer.linear2.weight,"[32, 64, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM gate projection
models--funasr--campplus,22,speaker_encode,block1.3,xvector.block1.tdnnd3.linear1,conv1d_im2col_equivalent,,B*T_tdnn,128,192,19;21,xvector.block1.tdnnd3.linear1.weight,"[128, 192, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1
models--funasr--campplus,23,speaker_encode,block1.3,xvector.block1.tdnnd3.cam_layer.linear_local,conv1d_im2col_equivalent,,B*T_tdnn,32,384,22,xvector.block1.tdnnd3.cam_layer.linear_local.weight,"[32, 128, 3]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM local branch
models--funasr--campplus,24,speaker_encode,block1.3,xvector.block1.tdnnd3.cam_layer.linear1,conv1d_im2col_equivalent,,B*T_tdnn,64,128,22,xvector.block1.tdnnd3.cam_layer.linear1.weight,"[64, 128, 1]",checkpoint_shape+official_CAMPPlus_forward,dilation=1; CAM pooled-context branch
