model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--mistralai--Mistral-7B-Instruct-v0.3,1,prefill,0,model.layers.0.self_attn.q_proj,linear,,B*S,4096,4096,,model.layers.0.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,2,prefill,0,model.layers.0.self_attn.k_proj,linear,,B*S,1024,4096,,model.layers.0.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,3,prefill,0,model.layers.0.self_attn.v_proj,linear,,B*S,1024,4096,,model.layers.0.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,4,prefill,0,model.layers.0.self_attn.qk,batched_matmul,B*QH,S,S,128,1;2,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,5,prefill,0,model.layers.0.self_attn.pv,batched_matmul,B*QH,S,128,S,4;3,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,6,prefill,0,model.layers.0.self_attn.o_proj,linear,,B*S,4096,4096,5,model.layers.0.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,7,prefill,0,model.layers.0.mlp.gate_proj,linear,,B*S,14336,4096,6,model.layers.0.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,8,prefill,0,model.layers.0.mlp.up_proj,linear,,B*S,14336,4096,6,model.layers.0.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,9,prefill,0,model.layers.0.mlp.down_proj,linear,,B*S,4096,14336,7;8,model.layers.0.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,10,prefill,1,model.layers.1.self_attn.q_proj,linear,,B*S,4096,4096,9,model.layers.1.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,11,prefill,1,model.layers.1.self_attn.k_proj,linear,,B*S,1024,4096,9,model.layers.1.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,12,prefill,1,model.layers.1.self_attn.v_proj,linear,,B*S,1024,4096,9,model.layers.1.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,13,prefill,1,model.layers.1.self_attn.qk,batched_matmul,B*QH,S,S,128,10;11,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,14,prefill,1,model.layers.1.self_attn.pv,batched_matmul,B*QH,S,128,S,13;12,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,15,prefill,1,model.layers.1.self_attn.o_proj,linear,,B*S,4096,4096,14,model.layers.1.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,16,prefill,1,model.layers.1.mlp.gate_proj,linear,,B*S,14336,4096,15,model.layers.1.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,17,prefill,1,model.layers.1.mlp.up_proj,linear,,B*S,14336,4096,15,model.layers.1.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,18,prefill,1,model.layers.1.mlp.down_proj,linear,,B*S,4096,14336,16;17,model.layers.1.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,19,prefill,2,model.layers.2.self_attn.q_proj,linear,,B*S,4096,4096,18,model.layers.2.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,20,prefill,2,model.layers.2.self_attn.k_proj,linear,,B*S,1024,4096,18,model.layers.2.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,21,prefill,2,model.layers.2.self_attn.v_proj,linear,,B*S,1024,4096,18,model.layers.2.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,22,prefill,2,model.layers.2.self_attn.qk,batched_matmul,B*QH,S,S,128,19;20,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,23,prefill,2,model.layers.2.self_attn.pv,batched_matmul,B*QH,S,128,S,22;21,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,24,prefill,2,model.layers.2.self_attn.o_proj,linear,,B*S,4096,4096,23,model.layers.2.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,25,prefill,2,model.layers.2.mlp.gate_proj,linear,,B*S,14336,4096,24,model.layers.2.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,26,prefill,2,model.layers.2.mlp.up_proj,linear,,B*S,14336,4096,24,model.layers.2.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,27,prefill,2,model.layers.2.mlp.down_proj,linear,,B*S,4096,14336,25;26,model.layers.2.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,28,prefill,3,model.layers.3.self_attn.q_proj,linear,,B*S,4096,4096,27,model.layers.3.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,29,prefill,3,model.layers.3.self_attn.k_proj,linear,,B*S,1024,4096,27,model.layers.3.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,30,prefill,3,model.layers.3.self_attn.v_proj,linear,,B*S,1024,4096,27,model.layers.3.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,31,prefill,3,model.layers.3.self_attn.qk,batched_matmul,B*QH,S,S,128,28;29,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,32,prefill,3,model.layers.3.self_attn.pv,batched_matmul,B*QH,S,128,S,31;30,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,33,prefill,3,model.layers.3.self_attn.o_proj,linear,,B*S,4096,4096,32,model.layers.3.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,34,prefill,3,model.layers.3.mlp.gate_proj,linear,,B*S,14336,4096,33,model.layers.3.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,35,prefill,3,model.layers.3.mlp.up_proj,linear,,B*S,14336,4096,33,model.layers.3.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,36,prefill,3,model.layers.3.mlp.down_proj,linear,,B*S,4096,14336,34;35,model.layers.3.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,37,prefill,4,model.layers.4.self_attn.q_proj,linear,,B*S,4096,4096,36,model.layers.4.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,38,prefill,4,model.layers.4.self_attn.k_proj,linear,,B*S,1024,4096,36,model.layers.4.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,39,prefill,4,model.layers.4.self_attn.v_proj,linear,,B*S,1024,4096,36,model.layers.4.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,40,prefill,4,model.layers.4.self_attn.qk,batched_matmul,B*QH,S,S,128,37;38,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,41,prefill,4,model.layers.4.self_attn.pv,batched_matmul,B*QH,S,128,S,40;39,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,42,prefill,4,model.layers.4.self_attn.o_proj,linear,,B*S,4096,4096,41,model.layers.4.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,43,prefill,4,model.layers.4.mlp.gate_proj,linear,,B*S,14336,4096,42,model.layers.4.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,44,prefill,4,model.layers.4.mlp.up_proj,linear,,B*S,14336,4096,42,model.layers.4.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,45,prefill,4,model.layers.4.mlp.down_proj,linear,,B*S,4096,14336,43;44,model.layers.4.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,46,prefill,5,model.layers.5.self_attn.q_proj,linear,,B*S,4096,4096,45,model.layers.5.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,47,prefill,5,model.layers.5.self_attn.k_proj,linear,,B*S,1024,4096,45,model.layers.5.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,48,prefill,5,model.layers.5.self_attn.v_proj,linear,,B*S,1024,4096,45,model.layers.5.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,49,prefill,5,model.layers.5.self_attn.qk,batched_matmul,B*QH,S,S,128,46;47,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,50,prefill,5,model.layers.5.self_attn.pv,batched_matmul,B*QH,S,128,S,49;48,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,51,prefill,5,model.layers.5.self_attn.o_proj,linear,,B*S,4096,4096,50,model.layers.5.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,52,prefill,5,model.layers.5.mlp.gate_proj,linear,,B*S,14336,4096,51,model.layers.5.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,53,prefill,5,model.layers.5.mlp.up_proj,linear,,B*S,14336,4096,51,model.layers.5.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,54,prefill,5,model.layers.5.mlp.down_proj,linear,,B*S,4096,14336,52;53,model.layers.5.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,55,prefill,6,model.layers.6.self_attn.q_proj,linear,,B*S,4096,4096,54,model.layers.6.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,56,prefill,6,model.layers.6.self_attn.k_proj,linear,,B*S,1024,4096,54,model.layers.6.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,57,prefill,6,model.layers.6.self_attn.v_proj,linear,,B*S,1024,4096,54,model.layers.6.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,58,prefill,6,model.layers.6.self_attn.qk,batched_matmul,B*QH,S,S,128,55;56,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,59,prefill,6,model.layers.6.self_attn.pv,batched_matmul,B*QH,S,128,S,58;57,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,60,prefill,6,model.layers.6.self_attn.o_proj,linear,,B*S,4096,4096,59,model.layers.6.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,61,prefill,6,model.layers.6.mlp.gate_proj,linear,,B*S,14336,4096,60,model.layers.6.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,62,prefill,6,model.layers.6.mlp.up_proj,linear,,B*S,14336,4096,60,model.layers.6.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,63,prefill,6,model.layers.6.mlp.down_proj,linear,,B*S,4096,14336,61;62,model.layers.6.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,64,prefill,7,model.layers.7.self_attn.q_proj,linear,,B*S,4096,4096,63,model.layers.7.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,65,prefill,7,model.layers.7.self_attn.k_proj,linear,,B*S,1024,4096,63,model.layers.7.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,66,prefill,7,model.layers.7.self_attn.v_proj,linear,,B*S,1024,4096,63,model.layers.7.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,67,prefill,7,model.layers.7.self_attn.qk,batched_matmul,B*QH,S,S,128,64;65,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,68,prefill,7,model.layers.7.self_attn.pv,batched_matmul,B*QH,S,128,S,67;66,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,69,prefill,7,model.layers.7.self_attn.o_proj,linear,,B*S,4096,4096,68,model.layers.7.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,70,prefill,7,model.layers.7.mlp.gate_proj,linear,,B*S,14336,4096,69,model.layers.7.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,71,prefill,7,model.layers.7.mlp.up_proj,linear,,B*S,14336,4096,69,model.layers.7.mlp.up_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,72,prefill,7,model.layers.7.mlp.down_proj,linear,,B*S,4096,14336,70;71,model.layers.7.mlp.down_proj.weight,"[4096,14336]",config+architecture,SiLU(gate)*up precedes this GEMM
models--mistralai--Mistral-7B-Instruct-v0.3,73,prefill,8,model.layers.8.self_attn.q_proj,linear,,B*S,4096,4096,72,model.layers.8.self_attn.q_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,74,prefill,8,model.layers.8.self_attn.k_proj,linear,,B*S,1024,4096,72,model.layers.8.self_attn.k_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,75,prefill,8,model.layers.8.self_attn.v_proj,linear,,B*S,1024,4096,72,model.layers.8.self_attn.v_proj.weight,"[1024,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,76,prefill,8,model.layers.8.self_attn.qk,batched_matmul,B*QH,S,S,128,73;74,,,config+architecture,"GQA QH=32, KVH=8"
models--mistralai--Mistral-7B-Instruct-v0.3,77,prefill,8,model.layers.8.self_attn.pv,batched_matmul,B*QH,S,128,S,76;75,,,config+architecture,softmax/mask is a non-matmul dependency bridge
models--mistralai--Mistral-7B-Instruct-v0.3,78,prefill,8,model.layers.8.self_attn.o_proj,linear,,B*S,4096,4096,77,model.layers.8.self_attn.o_proj.weight,"[4096,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,79,prefill,8,model.layers.8.mlp.gate_proj,linear,,B*S,14336,4096,78,model.layers.8.mlp.gate_proj.weight,"[14336,4096]",config+architecture,
models--mistralai--Mistral-7B-Instruct-v0.3,80,prefill,8,model.layers.8.mlp.up_proj,linear,,B*S,14336,4096,78,model.layers.8.mlp.up_proj.weight,"[14336,4096]",config+architecture,
