model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,1,encoder,frontend,encoder.conv1,conv1d_im2col_equivalent,,B*T_audio,1280,384,,encoder.conv1.weight,"[1280,128,3]",variant+standard_whisper,"kernel=3,stride=1,padding=1"
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,2,encoder,frontend,encoder.conv2,conv1d_im2col_equivalent,,B*T_enc,1280,3840,1,encoder.conv2.weight,"[1280,1280,3]",variant+standard_whisper,"kernel=3,stride=2,padding=1; T_enc=ceil(T_audio/2)"
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,3,encoder,0,encoder.layers.0.self_attn.q_proj,linear,,B*T_enc,1280,1280,2,encoder.layers.0.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,4,encoder,0,encoder.layers.0.self_attn.k_proj,linear,,B*T_enc,1280,1280,2,encoder.layers.0.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,5,encoder,0,encoder.layers.0.self_attn.v_proj,linear,,B*T_enc,1280,1280,2,encoder.layers.0.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,6,encoder,0,encoder.layers.0.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,3;4,,,config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,7,encoder,0,encoder.layers.0.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,6;5,,,config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,8,encoder,0,encoder.layers.0.self_attn.out_proj,linear,,B*T_enc,1280,1280,7,encoder.layers.0.self_attn.out_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,9,encoder,0,encoder.layers.0.fc1,linear,,B*T_enc,5120,1280,8,encoder.layers.0.fc1.weight,"[5120,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,10,encoder,0,encoder.layers.0.fc2,linear,,B*T_enc,1280,5120,9,encoder.layers.0.fc2.weight,"[1280,5120]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,11,encoder,1,encoder.layers.1.self_attn.q_proj,linear,,B*T_enc,1280,1280,10,encoder.layers.1.self_attn.q_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,12,encoder,1,encoder.layers.1.self_attn.k_proj,linear,,B*T_enc,1280,1280,10,encoder.layers.1.self_attn.k_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,13,encoder,1,encoder.layers.1.self_attn.v_proj,linear,,B*T_enc,1280,1280,10,encoder.layers.1.self_attn.v_proj.weight,"[1280,1280]",config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,14,encoder,1,encoder.layers.1.self_attn.qk,batched_matmul,B*heads,T_enc,T_enc,64,11;12,,,config+architecture,
models--mobiuslabsgmbh--faster-whisper-large-v3-turbo,15,encoder,1,encoder.layers.1.self_attn.pv,batched_matmul,B*heads,T_enc,64,T_enc,14;13,,,config+architecture,
