model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--nvidia--bigvgan_v2_22khz_80band_256x,1,vocoder,frontend,conv_pre,conv1d_im2col_equivalent,,B*L0,1536,560,,conv_pre.weight_v,"[1536,80,7]",checkpoint_shape+standard_BigVGAN_generator_topology,weight-normalized learned convolution; same-length padding
models--nvidia--bigvgan_v2_22khz_80band_256x,2,vocoder,upsample.0,ups.0.0,conv_transpose1d_scatter_equivalent,,B*L0,6144,1536,1,ups.0.0.weight_v,"[1536,768,8]",checkpoint_shape+standard_BigVGAN_generator_topology,producer-side GEMM then overlap-add scatter; rate=4; L1=4*L0 in standard BigVGAN
models--nvidia--bigvgan_v2_22khz_80band_256x,3,vocoder,resblock.0,resblocks.0.convs1.0,conv1d_im2col_equivalent,,B*L1,768,2304,2,resblocks.0.convs1.0.weight_v,"[768,768,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,4,vocoder,resblock.0,resblocks.0.convs2.0,conv1d_im2col_equivalent,,B*L1,768,2304,3,resblocks.0.convs2.0.weight_v,"[768,768,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,5,vocoder,resblock.0,resblocks.0.convs1.1,conv1d_im2col_equivalent,,B*L1,768,2304,4,resblocks.0.convs1.1.weight_v,"[768,768,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=3; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,6,vocoder,resblock.0,resblocks.0.convs2.1,conv1d_im2col_equivalent,,B*L1,768,2304,5,resblocks.0.convs2.1.weight_v,"[768,768,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,7,vocoder,resblock.0,resblocks.0.convs1.2,conv1d_im2col_equivalent,,B*L1,768,2304,6,resblocks.0.convs1.2.weight_v,"[768,768,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=5; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,8,vocoder,resblock.0,resblocks.0.convs2.2,conv1d_im2col_equivalent,,B*L1,768,2304,7,resblocks.0.convs2.2.weight_v,"[768,768,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,9,vocoder,resblock.1,resblocks.1.convs1.0,conv1d_im2col_equivalent,,B*L1,768,5376,2,resblocks.1.convs1.0.weight_v,"[768,768,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,10,vocoder,resblock.1,resblocks.1.convs2.0,conv1d_im2col_equivalent,,B*L1,768,5376,9,resblocks.1.convs2.0.weight_v,"[768,768,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,11,vocoder,resblock.1,resblocks.1.convs1.1,conv1d_im2col_equivalent,,B*L1,768,5376,10,resblocks.1.convs1.1.weight_v,"[768,768,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=3; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,12,vocoder,resblock.1,resblocks.1.convs2.1,conv1d_im2col_equivalent,,B*L1,768,5376,11,resblocks.1.convs2.1.weight_v,"[768,768,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,13,vocoder,resblock.1,resblocks.1.convs1.2,conv1d_im2col_equivalent,,B*L1,768,5376,12,resblocks.1.convs1.2.weight_v,"[768,768,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=5; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,14,vocoder,resblock.1,resblocks.1.convs2.2,conv1d_im2col_equivalent,,B*L1,768,5376,13,resblocks.1.convs2.2.weight_v,"[768,768,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,15,vocoder,resblock.2,resblocks.2.convs1.0,conv1d_im2col_equivalent,,B*L1,768,8448,2,resblocks.2.convs1.0.weight_v,"[768,768,11]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,16,vocoder,resblock.2,resblocks.2.convs2.0,conv1d_im2col_equivalent,,B*L1,768,8448,15,resblocks.2.convs2.0.weight_v,"[768,768,11]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,17,vocoder,resblock.2,resblocks.2.convs1.1,conv1d_im2col_equivalent,,B*L1,768,8448,16,resblocks.2.convs1.1.weight_v,"[768,768,11]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=3; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,18,vocoder,resblock.2,resblocks.2.convs2.1,conv1d_im2col_equivalent,,B*L1,768,8448,17,resblocks.2.convs2.1.weight_v,"[768,768,11]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,19,vocoder,resblock.2,resblocks.2.convs1.2,conv1d_im2col_equivalent,,B*L1,768,8448,18,resblocks.2.convs1.2.weight_v,"[768,768,11]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=5; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,20,vocoder,resblock.2,resblocks.2.convs2.2,conv1d_im2col_equivalent,,B*L1,768,8448,19,resblocks.2.convs2.2.weight_v,"[768,768,11]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,21,vocoder,upsample.1,ups.1.0,conv_transpose1d_scatter_equivalent,,B*L1,3072,768,8;14;20,ups.1.0.weight_v,"[768,384,8]",checkpoint_shape+standard_BigVGAN_generator_topology,producer-side GEMM then overlap-add scatter; rate=4; L2=4*L1 in standard BigVGAN
models--nvidia--bigvgan_v2_22khz_80band_256x,22,vocoder,resblock.3,resblocks.3.convs1.0,conv1d_im2col_equivalent,,B*L2,384,1152,21,resblocks.3.convs1.0.weight_v,"[384,384,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,23,vocoder,resblock.3,resblocks.3.convs2.0,conv1d_im2col_equivalent,,B*L2,384,1152,22,resblocks.3.convs2.0.weight_v,"[384,384,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,24,vocoder,resblock.3,resblocks.3.convs1.1,conv1d_im2col_equivalent,,B*L2,384,1152,23,resblocks.3.convs1.1.weight_v,"[384,384,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=3; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,25,vocoder,resblock.3,resblocks.3.convs2.1,conv1d_im2col_equivalent,,B*L2,384,1152,24,resblocks.3.convs2.1.weight_v,"[384,384,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,26,vocoder,resblock.3,resblocks.3.convs1.2,conv1d_im2col_equivalent,,B*L2,384,1152,25,resblocks.3.convs1.2.weight_v,"[384,384,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=5; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,27,vocoder,resblock.3,resblocks.3.convs2.2,conv1d_im2col_equivalent,,B*L2,384,1152,26,resblocks.3.convs2.2.weight_v,"[384,384,3]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,28,vocoder,resblock.4,resblocks.4.convs1.0,conv1d_im2col_equivalent,,B*L2,384,2688,21,resblocks.4.convs1.0.weight_v,"[384,384,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
models--nvidia--bigvgan_v2_22khz_80band_256x,29,vocoder,resblock.4,resblocks.4.convs2.0,conv1d_im2col_equivalent,,B*L2,384,2688,28,resblocks.4.convs2.0.weight_v,"[384,384,7]",checkpoint_shape+standard_BigVGAN_generator_topology,dilation=1; residual branch
