model,op_id,phase,layer,module,op_kind,batch_dims,M,N,K,deps,weight,weight_shape,provenance,notes
models--sentence-transformers--all-mpnet-base-v2,1,encode,0,encoder.layer.0.attention.q,linear,,B*S,768,768,,encoder.layer.0.attention.self.query.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,2,encode,0,encoder.layer.0.attention.k,linear,,B*S,768,768,,encoder.layer.0.attention.self.key.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,3,encode,0,encoder.layer.0.attention.v,linear,,B*S,768,768,,encoder.layer.0.attention.self.value.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,4,encode,0,encoder.layer.0.attention.qk,batched_matmul,B*heads,S,S,64,1;2,,,config+architecture,
models--sentence-transformers--all-mpnet-base-v2,5,encode,0,encoder.layer.0.attention.pv,batched_matmul,B*heads,S,64,S,4;3,,,config+architecture,softmax is a non-matmul dependency bridge
models--sentence-transformers--all-mpnet-base-v2,6,encode,0,encoder.layer.0.attention.output,linear,,B*S,768,768,5,encoder.layer.0.attention.output.dense.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,7,encode,0,encoder.layer.0.ffn.intermediate,linear,,B*S,3072,768,6,encoder.layer.0.intermediate.dense.weight,"[3072,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,8,encode,0,encoder.layer.0.ffn.output,linear,,B*S,768,3072,7,encoder.layer.0.output.dense.weight,"[768,3072]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,9,encode,1,encoder.layer.1.attention.q,linear,,B*S,768,768,8,encoder.layer.1.attention.self.query.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,10,encode,1,encoder.layer.1.attention.k,linear,,B*S,768,768,8,encoder.layer.1.attention.self.key.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,11,encode,1,encoder.layer.1.attention.v,linear,,B*S,768,768,8,encoder.layer.1.attention.self.value.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,12,encode,1,encoder.layer.1.attention.qk,batched_matmul,B*heads,S,S,64,9;10,,,config+architecture,
models--sentence-transformers--all-mpnet-base-v2,13,encode,1,encoder.layer.1.attention.pv,batched_matmul,B*heads,S,64,S,12;11,,,config+architecture,softmax is a non-matmul dependency bridge
models--sentence-transformers--all-mpnet-base-v2,14,encode,1,encoder.layer.1.attention.output,linear,,B*S,768,768,13,encoder.layer.1.attention.output.dense.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,15,encode,1,encoder.layer.1.ffn.intermediate,linear,,B*S,3072,768,14,encoder.layer.1.intermediate.dense.weight,"[3072,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,16,encode,1,encoder.layer.1.ffn.output,linear,,B*S,768,3072,15,encoder.layer.1.output.dense.weight,"[768,3072]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,17,encode,2,encoder.layer.2.attention.q,linear,,B*S,768,768,16,encoder.layer.2.attention.self.query.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,18,encode,2,encoder.layer.2.attention.k,linear,,B*S,768,768,16,encoder.layer.2.attention.self.key.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,19,encode,2,encoder.layer.2.attention.v,linear,,B*S,768,768,16,encoder.layer.2.attention.self.value.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,20,encode,2,encoder.layer.2.attention.qk,batched_matmul,B*heads,S,S,64,17;18,,,config+architecture,
models--sentence-transformers--all-mpnet-base-v2,21,encode,2,encoder.layer.2.attention.pv,batched_matmul,B*heads,S,64,S,20;19,,,config+architecture,softmax is a non-matmul dependency bridge
models--sentence-transformers--all-mpnet-base-v2,22,encode,2,encoder.layer.2.attention.output,linear,,B*S,768,768,21,encoder.layer.2.attention.output.dense.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,23,encode,2,encoder.layer.2.ffn.intermediate,linear,,B*S,3072,768,22,encoder.layer.2.intermediate.dense.weight,"[3072,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,24,encode,2,encoder.layer.2.ffn.output,linear,,B*S,768,3072,23,encoder.layer.2.output.dense.weight,"[768,3072]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,25,encode,3,encoder.layer.3.attention.q,linear,,B*S,768,768,24,encoder.layer.3.attention.self.query.weight,"[768,768]",config+architecture,
models--sentence-transformers--all-mpnet-base-v2,26,encode,3,encoder.layer.3.attention.k,linear,,B*S,768,768,24,encoder.layer.3.attention.self.key.weight,"[768,768]",config+architecture,
